run	Hits@1	Hits@3	Hits@10	MRR-like	AMR
Monarch KG	0.0012490363553166917	0.0031715492922764175	0.00869835604844064	0.00497019337490201	60050.3203125
cos0.1	0.0010006620131504662	0.007125477762376446	0.014840844587397676	0.006289900746196508	177900.328125
cos0.2	0.0010006620131504662	0.007125477762376446	0.014840844587397676	0.006289900746196508	177900.328125
cos0.3	0.0010006620131504662	0.007125477762376446	0.014840844587397676	0.006289900746196508	177900.328125
cos0.4	0.0010006620131504662	0.007125477762376446	0.014840844587397676	0.006289900746196508	177900.328125
